experiment_id,experiment_group,experiment_name,training_window,alpha_learning_method,weighting_scheme,ranking_scheme,short_treatment,notes,validation_2019_2022_250m_net_sharpe,validation_2019_2022_250m_max_drawdown,validation_2019_2022_250m_worst_12m_return,internal_holdout_2023_2024_250m_net_sharpe,internal_holdout_2023_2024_250m_max_drawdown,internal_holdout_2023_2024_250m_worst_12m_return,full_2010_2024_250m_net_sharpe,full_2010_2024_250m_max_drawdown,full_2010_2024_250m_worst_12m_return,full_50m_net_sharpe,full_250m_net_sharpe,full_250m_average_gross_exposure_used,full_250m_average_turnover,full_250m_commission_drag,full_250m_slippage_drag,full_250m_borrow_drag,full_250m_IC_mean,full_250m_IC_tstat,full_1b_net_sharpe,passes_phase2_replacement_rule
phase2_g6_03_prior75_learned25,G6_transparent_alpha_learning,75% prior / 25% learned,4y_rolling,prior75_learned25,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,0.7495031074261226,-0.09688794434800552,-0.07788743772081197,-0.14884028953012904,-0.10371190106955819,-0.06584827219397216,0.5061642649575708,-0.1047551905439692,-0.10090323942890167,0.604320343734782,0.5061642649575708,0.6698525598070366,1.3397051196140732,0.343432979845546,1.0326455726809276,0.18421085963890105,0.028818459985295083,9.86743008071945,0.024912518681863394,False
phase2_g4_02_exclude_tier_c_shorts,G4_borrow_aware_short_leg,exclude Tier C shorts,4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,exclude_tier_c,,0.6567886260325927,-0.16091292161366955,-0.14553688345362936,0.31237824351231347,-0.061354127096413635,-0.04086652136087188,0.6514754597647194,-0.16091292161366877,-0.14553688345362936,0.7911650145974856,0.6514754597647194,0.7343679098557491,1.4687358197114981,0.371829003013209,1.1172826592599447,0.08505649757265743,0.02816802648069744,9.46459597093671,0.13823706822222329,False
phase2_g5_01_2y_rolling,G5_training_window,2-year rolling training window,2y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,0.5939193704185096,-0.11933904953473662,-0.10348966812510019,-0.21887151665943086,-0.09352916856820326,-0.06934034668654043,0.5577840510185541,-0.15405819284830025,-0.10348966812510019,0.6937967943294969,0.5577840510185541,0.7002755400832419,1.4005510801664838,0.35621623322082363,1.0709956696967868,0.1569589622995532,0.02531218725466334,8.181738503054136,0.4325560553126855,False
phase2_g4_03_exclude_tier_b_c_shorts,G4_borrow_aware_short_leg,exclude Tier B and C shorts,4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,exclude_tier_b_c,,0.5578021144358087,-0.21846977390784916,-0.19126510997228452,-0.04916181274405553,-0.10969056707526836,-0.0847528459152802,0.5280643011196704,-0.21846977390784872,-0.19126510997228452,0.7357965189699142,0.5280643011196704,0.8034010284504758,1.6068020569009516,0.4142830367021979,1.2437852366984452,0.032911871425765904,0.02816802648069744,9.46459597093671,0.3737276161312734,False
phase2_g1_02_top_bottom_5pct_equal,G1_basket_size_concentration,"top/bottom 5%, equal weight",4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,0.5543578500544937,-0.18409017221024904,-0.14563556010812118,-0.34165241167183635,-0.0966678745350048,-0.07228889884785161,0.4757666592823689,-0.18409017221024893,-0.14563556010812118,0.49548180298070577,0.4757666592823689,0.9196623853119797,1.8393247706239595,0.4876345160968989,1.4640629560481595,0.21187590843655263,0.02816802648069744,9.46459597093671,0.2562816486268199,False
phase2_g1_06_long_5_short_10_equal,G1_basket_size_concentration,"long 5% / short 10%, equal weight",4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,0.3892451463913787,-0.17739090236954647,-0.13191379171541995,-0.6118613252396793,-0.09911880246642879,-0.07534154412634841,0.1400831936774707,-0.1974620788290563,-0.18144047328793134,0.14541604534730507,0.1400831936774707,0.9913930369552973,1.9827860739105947,0.5743536891421401,1.7227984650913615,0.2420795772550882,0.02816802648069744,9.46459597093671,0.30469075970713067,False
phase2_g1_05_long_5_short_7_5_equal,G1_basket_size_concentration,"long 5% / short 7.5%, equal weight",4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,0.37112422082420704,-0.18266951902135653,-0.138573275618055,-0.5087369869430379,-0.09867145657617593,-0.07535646570504351,0.26653677410490956,-0.1838728473507557,-0.17370737861583052,0.2547355122200511,0.26653677410490956,0.9829466335817291,1.9658932671634581,0.549673125233002,1.6491542380001831,0.23572075477367843,0.02816802648069744,9.46459597093671,0.32712150794527545,False
phase2_g3_03_alpha_minus_liquidity_impact,G3_cost_aware_ranking,predicted alpha minus estimated liquidity impact,4y_rolling,prior50_learned50,equal_weight,alpha_minus_liquidity_impact,tiered_borrow_cost_only,,0.29439687875423354,-0.08567668224586178,-0.07248095986573533,-2.06446485566931,-0.1421570667999128,-0.10421271830872347,0.49643399280159856,-0.18651322301208706,-0.17542876427349618,1.730518412302613,0.49643399280159856,0.9980379406601783,1.9960758813203565,0.885490240081845,2.6565802297760093,0.16934791491941054,0.02816802648069744,9.46459597093671,-0.7706591653385086,False
phase2_g3_06_cost_aware_long_short,G3_cost_aware_ranking,cost-aware long and short ranking together,4y_rolling,prior50_learned50,equal_weight,cost_aware_long_short,tiered_borrow_cost_only,,0.17369530509048162,-0.09066791584953993,-0.07181538627665085,-2.0107889537728973,-0.13853462868273114,-0.09999429065780574,0.505163988111125,-0.18810280322008666,-0.17507363112719787,1.6004575043811173,0.505163988111125,0.9982504699311863,1.9965009398623725,0.8824166414784202,2.647324251173206,0.1349313250977684,0.02816802648069744,9.46459597093671,-0.7793591859821282,False
phase2_g1_07_long_7_5_short_10_equal,G1_basket_size_concentration,"long 7.5% / short 10%, equal weight",4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,0.16746027428968546,-0.1894961777932166,-0.1320697298995872,-0.8782187355296226,-0.11192475445954331,-0.08834129732755702,-0.05578360082560986,-0.23838483795358445,-0.19720716455419662,-0.0720340762419597,-0.05578360082560986,0.9989448685186134,1.9978897370372268,0.6141843138031144,1.8426147340002517,0.2576854623920993,0.02816802648069744,9.46459597093671,0.18506523547642195,False
phase2_g1_03_top_bottom_7_5pct_equal,G1_basket_size_concentration,"top/bottom 7.5%, equal weight",4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,0.16210722215355874,-0.19456600157851434,-0.13845445662779987,-0.7563223139742336,-0.10942141598893718,-0.08662516142543186,0.09308175608548605,-0.22434507010662963,-0.1862177662165071,0.053715797946372955,0.09308175608548605,0.9905187321356642,1.9810374642713284,0.5854575426283262,1.756882816736352,0.24986489551466148,0.02816802648069744,9.46459597093671,0.2134483759586904,False
phase2_g1_04_top_bottom_10pct_equal,G1_basket_size_concentration,"top/bottom 10%, equal weight",4y_rolling,prior50_learned50,equal_weight,raw_alpha_score,tiered_borrow_cost_only,,-0.07917546046193003,-0.20588232227427194,-0.14290914433140445,-1.18756042177622,-0.12640858821641854,-0.09863882440027838,-0.2480566250507113,-0.2694391449150906,-0.1960945753033203,-0.24594119512782,-0.2480566250507113,0.999133792342821,1.998267584685642,0.6403583497427681,1.921189120496632,0.26861591772288196,0.02816802648069744,9.46459597093671,0.020177448143384256,False
